sep=;
SIN;LAST NAME;FIRST NAME;GENDER;EMAIL;BIRTHDATE;ADDRESS;LANGUAGE;SALARY;MARITAL STATUS;EMPLOYEE NUMBER;HIRE DATE;INSURANCE;FAKETAG
266545458;KATHERYN;ROBBINS;F;KATHERYN.ROBBINS@hotmail.com;1927-07-01;33 Linscott Road, Hingham MA 02043;E;249970$;maried;492491;2020-02-15;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
208737825;ROYCE;PARRISH;M;ROYCE.PARRISH@ia.ca;1967-08-14;2334 Nantucket Drive, Crofton MD 21114;E;201264$;divorced;186785;2012-10-13;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
283486538;CLARISSA;TRAVIS;F;CLARISSA.TRAVIS@ia.ca;1963-01-20;1521 159th Avenue, San Leandro CA 94578;E;252630$;common-law partner;817577;1996-02-05;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
488100421;ERNIE;HOLT;M;ERNIE.HOLT@ia.ca;1921-09-01;604 Northwest 118th Street, Oklahoma City OK 73114;E;246430$;single;342431;2000-05-28;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
732045489;NELSON;SOSA;M;NELSON.SOSA@ia.ca;1965-10-17;2506 West Madison Street, Louisville KY 40211;E;132127$;common-law partner;400241;1984-07-18;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
202137261;MARCIA;ALLEN;F;MARCIA.ALLEN@ia.ca;1951-03-23;28 Wilfred Road, Manchester CT 06040;E;297150$;divorced;052973;1987-03-12;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
126428846;LILIAN;FULLER;F;LILIAN.FULLER@agc.ia.ca;1976-06-15;8404 South Villa Avenue, Oklahoma City OK 73159;E;114493$;divorced;210053;2018-11-07;Health care - Module 1, Dental care - Module 2;fakepurplepupleteam0006
255844672;FRAN;COLON;F;FRAN.COLON@outlook.com;1939-09-26;1106 Homer Avenue, Savannah GA 31405;E;199494$;divorced;726492;2013-01-01;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
330065749;MARIA;BALLARD;M;MARIA.BALLARD@hotmail.com;1997-09-08;117 East Cook Avenue, Anchorage AK 99501;F;290951$;common-law partner;785549;1971-07-19;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
137355806;TOD;KANE;M;TOD.KANE@outlook.com;1932-12-28;599 Cambridge Street, Cambridge MA 02141;F;160359$;maried;642674;1989-09-29;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
730866324;KELLY;DAVIDSON;M;KELLY.DAVIDSON@ia.ca;1940-11-26;2276 West Woodley Square, Montgomery AL 36116;E;267312$;divorced;963558;2014-11-30;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
636757833;SUSANA;DEAN;F;SUSANA.DEAN@outlook.com;1998-11-21;110 Castle Hill, Manchester CT 06040;E;203186$;divorced;999543;2017-03-04;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
742128440;MILLICENT;BALL;F;MILLICENT.BALL@ia.ca;1982-10-25;804 East 7th Court, Panama City FL 32401;E;158031$;widowed;060439;1981-12-29;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
756514402;RODRIGO;SHEPHERD;M;RODRIGO.SHEPHERD@gmail.com;1944-08-03;11300 Lillian Lane, Anchorage AK 99515;E;48882$;single;184398;1997-06-21;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
348056268;TOD;PENNINGTON;M;TOD.PENNINGTON@outlook.com;1956-12-21;1911 East 58th Avenue, Anchorage AK 99507;E;283080$;widowed;871705;2011-12-16;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
231047804;QUINN;JOSEPH;M;QUINN.JOSEPH@hotmail.com;1980-04-29;5144 Cattail Court, Fayetteville AR 72701;F;139321$;single;775487;2015-09-25;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
602746273;STUART;BOYD;M;STUART.BOYD@gmail.com;1946-11-12;6460 Vermont 113, Vershire VT 05079;F;184073$;single;147173;2009-07-06;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
527251037;DENA;BARRETT;F;DENA.BARRETT@agc.ia.ca;1960-07-04;4981 Shirley Way, Livermore CA 94550;E;160254$;widowed;102540;1975-05-08;Health care - Module 1, Dental care - Module 2;fakepurplepupleteam0006
644226789;CLINTON;LESTER;M;CLINTON.LESTER@agc.ia.ca;1930-11-27;1208 Elkader Court North, Nashville TN 37013;F;243308$;widowed;976681;1994-11-11;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
331710749;DARREL;STUART;M;DARREL.STUART@agc.ia.ca;1965-11-20;814 East 10th Court, Panama City FL 32401;E;137117$;widowed;103220;2010-08-03;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
141355107;PETE;HUNTER;M;PETE.HUNTER@ia.ca;1985-01-13;137 Gazebo East Drive, Montgomery AL 36117;F;118458$;divorced;311334;2017-02-17;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
603007758;HARLAN;ANDREWS;M;HARLAN.ANDREWS@agc.ia.ca;1931-10-25;2456 22nd Avenue, Greeley CO 80631;F;194468$;single;725137;1986-10-06;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
524153574;ALANA;SKINNER;F;ALANA.SKINNER@outlook.com;1932-05-08;5906 Milton Avenue, Deale MD 20751;F;43050$;widowed;827462;2004-04-21;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
671536738;MARCELLA;HEWITT;F;MARCELLA.HEWITT@hotmail.com;1931-08-28;1771 Daisey Court, Millersville MD 21108;E;226505$;maried;668818;2017-02-06;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
656433133;CESAR;EDWARDS;M;CESAR.EDWARDS@hotmail.com;1975-02-10;6444 North 67th Avenue, Glendale AZ 85301;F;194530$;divorced;113325;2020-12-31;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
613253319;ELOY;STONE;M;ELOY.STONE@agc.ia.ca;1977-12-23;1267 Martin Street, Nashville TN 37203;F;155685$;single;369320;1998-03-01;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
683554646;JULIA;STRICKLAND;F;JULIA.STRICKLAND@ia.ca;1961-09-12;7701 Southwest 104th Street, Oklahoma City OK 73169;F;112738$;common-law partner;586502;1981-10-27;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
784248684;SUSAN;BRENNAN;F;SUSAN.BRENNAN@hotmail.com;1958-01-31;6086 Kennedy Drive, Fayetteville AR 72704;E;263335$;divorced;964861;1991-12-09;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
204786305;KARINA;WHITLEY;F;KARINA.WHITLEY@hotmail.com;1948-08-30;17020 West 64th Drive, Arvada CO 80007;E;275478$;common-law partner;158325;2004-04-20;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
273216788;TASHA;JOYCE;F;TASHA.JOYCE@ia.ca;1945-07-05;110 Elmwood Avenue, Barre VT 05641;F;129609$;divorced;215140;2018-10-11;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
426724365;HARRISON;QUINN;M;HARRISON.QUINN@agc.ia.ca;1965-10-05;1120 Mitchell Young Road, Montgomery AL 36108;E;37803$;maried;472165;2018-01-12;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
487605883;ROSCOE;BRIDGES;M;ROSCOE.BRIDGES@agc.ia.ca;1988-09-27;5104 West Tierra Buena Lane, Glendale AZ 85306;F;276296$;maried;200786;1993-04-26;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
578756116;TYLER;BRYANT;M;TYLER.BRYANT@hotmail.com;1995-12-06;2619 North Quality Lane, Fayetteville AR 72703;E;229123$;maried;572522;1986-07-26;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
363084203;COLLEEN;HOWARD;F;COLLEEN.HOWARD@gmail.com;1982-12-15;1011 Bell Avenue, Glen Burnie MD 21060;F;167434$;common-law partner;298996;2008-03-11;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
722257375;ZACHERY;FERRELL;M;ZACHERY.FERRELL@agc.ia.ca;1990-06-03;3701 Lake Towne Drive, Nashville TN 37013;F;215473$;single;099750;2009-11-25;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
371882705;JAN;PARKS;M;JAN.PARKS@ia.ca;1995-01-08;21 Soling Avenue, Savannah GA 31419;E;65587$;widowed;764095;2004-01-12;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
270131642;BERT;ROMAN;M;BERT.ROMAN@ia.ca;1928-05-14;1160 North College Avenue, Fayetteville AR 72703;E;127343$;common-law partner;698102;1974-06-24;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
104546759;ALEXANDRIA;HUFFMAN;F;ALEXANDRIA.HUFFMAN@ia.ca;1999-10-16;4418 Signal Hill Road, Louisville KY 40207;F;231373$;divorced;063152;2005-06-02;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
116404583;ALEJANDRO;WAGNER;M;ALEJANDRO.WAGNER@gmail.com;1964-04-26;19 Heritage, Oakland CA 94605;E;254489$;maried;745740;1979-11-05;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
358002863;NIKKI;PEREZ;F;NIKKI.PEREZ@agc.ia.ca;1993-03-16;7613 Yule Court, Arvada CO 80007;F;117497$;common-law partner;735488;1993-06-03;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
714115474;PEGGY;WORKMAN;F;PEGGY.WORKMAN@hotmail.com;1999-09-10;5065 North 54th Avenue, Glendale AZ 85301;F;55606$;maried;021752;1987-12-13;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
202338182;MARLON;MERCADO;M;MARLON.MERCADO@outlook.com;1930-06-05;503 Blackwood Terrace Southeast, Calhoun GA 30701;E;235100$;common-law partner;424963;1984-04-12;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
468483342;ERIKA;PENA;F;ERIKA.PENA@hotmail.com;1944-05-27;343 Daman Drive, Montgomery AL 36108;E;110646$;common-law partner;979146;2004-06-10;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
372558403;NORA;RILEY;F;NORA.RILEY@outlook.com;1961-07-27;3600 Pennsylvania Avenue, Fremont CA 94536;E;105587$;single;742511;2009-08-02;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
744740804;ALMA;BENSON;F;ALMA.BENSON@hotmail.com;1954-10-27;1622 Edgar D Nixon Avenue, Montgomery AL 36104;F;40852$;divorced;873039;2012-06-24;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
313522567;DEWITT;WALLER;M;DEWITT.WALLER@agc.ia.ca;1930-07-24;6505 South Lagoon Drive, Panama City Beach FL 32408;F;236547$;divorced;793973;1987-02-01;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
136880838;DEVON;BENJAMIN;M;DEVON.BENJAMIN@gmail.com;1933-01-22;2619 North Quality Lane, Fayetteville AR 72703;F;61711$;widowed;895867;2001-02-03;Health care - Module 1, Dental care - Module 2;fakepurplepupleteam0006
102805876;ISIAH;HURLEY;M;ISIAH.HURLEY@hotmail.com;1959-09-16;2787 West Blackstone Crossing, Fayetteville AR 72704;E;137126$;maried;158974;1991-05-27;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
274652882;MASON;JOHNS;M;MASON.JOHNS@gmail.com;1968-05-06;43 Henderson Avenue, Savannah GA 31406;F;115490$;single;000446;2015-05-08;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
756258745;BERNIE;POPE;M;BERNIE.POPE@hotmail.com;1948-09-29;8064 Claytie Circle, Nashville TN 37221;F;53216$;maried;823214;2020-02-23;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
427284286;ESSIE;NEWMAN;F;ESSIE.NEWMAN@outlook.com;1998-02-18;700 Winston Place, Anchorage AK 99504;F;235751$;divorced;798087;1973-01-17;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
388317109;STACY;LANCASTER;F;STACY.LANCASTER@ia.ca;1951-09-06;565 North Lakeshore Drive, Panama City Beach FL 32413;F;243145$;maried;224582;1994-03-17;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
573177789;DAVID;SNYDER;M;DAVID.SNYDER@ia.ca;1974-07-22;302 East Granada Street, Fayetteville AR 72703;E;96080$;single;033841;1974-03-12;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
506608678;CARMEN;HAHN;F;CARMEN.HAHN@ia.ca;1982-09-05;17020 West 64th Drive, Arvada CO 80007;E;255717$;common-law partner;449543;2014-09-26;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
318050119;NEWTON;SOLOMON;M;NEWTON.SOLOMON@ia.ca;1986-04-21;1364 Capri Drive, Panama City FL 32405;E;291613$;common-law partner;817122;1984-07-12;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
605024769;HIRAM;WILEY;M;HIRAM.WILEY@outlook.com;1965-01-20;113 Hammarlee Road, Glen Burnie MD 21060;E;156894$;widowed;796000;1982-08-02;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
205726086;JAMEL;PAUL;M;JAMEL.PAUL@ia.ca;1931-08-12;1831 Frankford Avenue, Panama City FL 32405;F;103326$;common-law partner;393526;1991-01-21;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
256422742;STEVEN;BERGER;M;STEVEN.BERGER@outlook.com;1932-02-11;6114 West Glenn Drive, Glendale AZ 85301;F;158150$;divorced;904536;2009-05-04;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
445233703;HUNTER;KEITH;M;HUNTER.KEITH@agc.ia.ca;1925-05-19;840 Inglewood Drive, West Sacramento CA 95605;F;267799$;maried;783389;2019-05-21;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
344231261;DELORIS;DURHAM;F;DELORIS.DURHAM@ia.ca;1930-11-13;6754 Field Street, Arvada CO 80004;E;95796$;maried;903783;2017-12-12;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
185505450;JOHANNA;JORDAN;F;JOHANNA.JORDAN@agc.ia.ca;1942-08-29;2313 Vegas Avenue, Castro Valley CA 94546;F;216778$;maried;773049;2005-05-06;Health care - Module 1, Dental care - Module 2;fakepurplepupleteam0006
730002607;CHRYSTAL;HEAD;F;CHRYSTAL.HEAD@agc.ia.ca;1983-01-12;7250 Urban Drive, Arvada CO 80005;F;190424$;divorced;360561;1987-10-08;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
728163262;TERRENCE;FUENTES;M;TERRENCE.FUENTES@ia.ca;1935-10-24;145 Grau Drive, Fremont CA 94536;F;284258$;maried;726375;1996-08-28;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
644731531;LAUREL;HARPER;F;LAUREL.HARPER@outlook.com;1966-04-10;228 Central Street, Milford MA 01757;E;103036$;divorced;998468;1992-01-30;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
515465573;THOMAS;CASTRO;M;THOMAS.CASTRO@agc.ia.ca;1961-05-09;708 Pine Drift Drive, Odenton MD 21113;F;155589$;widowed;999422;2006-03-16;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
665466678;JESSICA;GONZALES;F;JESSICA.GONZALES@hotmail.com;1967-01-09;35 Pilgrim Lane, Manchester CT 06040;E;93133$;common-law partner;980906;1993-12-31;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
406175430;ANTON;BECK;M;ANTON.BECK@outlook.com;1953-06-22;1656 Newton Street Northwest, Washington DC 20010;E;296322$;single;175083;1990-12-06;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
304003783;LISA;BLAIR;F;LISA.BLAIR@gmail.com;1965-11-11;200 Edson Road, Windham VT 05359;F;177156$;widowed;473114;2012-08-27;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
342664463;JAME;BOWERS;M;JAME.BOWERS@outlook.com;1927-03-15;4136 East Virginia Lane, Montgomery AL 36116;E;171061$;common-law partner;636395;1985-10-19;Health care - Module 1, Dental care - Module 2;fakepurplepupleteam0006
614011849;LEWIS;THORNTON;M;LEWIS.THORNTON@outlook.com;1999-10-23;832 51st Street Northeast, Washington DC 20019;F;257511$;divorced;977249;1972-12-28;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
158128132;WARD;JEFFERSON;M;WARD.JEFFERSON@hotmail.com;1961-06-16;72 Bentley Avenue, Poultney VT 05764;F;62914$;common-law partner;797893;2014-10-31;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
657384152;GRADY;DALTON;M;GRADY.DALTON@ia.ca;1926-09-11;2212 Daffin Drive, Savannah GA 31404;E;102918$;maried;054915;2001-04-05;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
302751318;LUCAS;AUSTIN;M;LUCAS.AUSTIN@hotmail.com;1927-10-28;10826 Pointe Royal Drive, Bakersfield CA 93311;F;219679$;common-law partner;433807;2001-09-13;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
376244810;BARBRA;RICHMOND;F;BARBRA.RICHMOND@gmail.com;1993-02-28;6941 West 87th Way, Arvada CO 80003;F;297238$;divorced;282818;1972-08-01;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
260686704;CORA;FOWLER;F;CORA.FOWLER@ia.ca;1958-07-12;35 Keach Avenue, Worcester MA 01607;F;188934$;maried;201998;1992-10-22;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
321166530;DEBBIE;SIMS;F;DEBBIE.SIMS@outlook.com;1934-11-21;545 Tracey Drive, Panama City FL 32404;F;249102$;widowed;802613;1970-10-27;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
515355147;FRAN;CAIN;F;FRAN.CAIN@ia.ca;1986-10-27;33 Pond Avenue, Brookline MA 02445;F;100402$;common-law partner;053966;1973-11-10;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
657330023;NOEL;ZIMMERMAN;M;NOEL.ZIMMERMAN@gmail.com;1997-03-22;3505 Albee Drive, Nashville TN 37076;F;288152$;maried;319889;1978-09-14;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
307148130;ALLIE;CARROLL;F;ALLIE.CARROLL@outlook.com;1947-12-29;5601 West Crocus Drive, Glendale AZ 85306;E;36452$;single;158841;2006-04-02;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
203750856;DENVER;SERRANO;M;DENVER.SERRANO@hotmail.com;1941-08-27;1401 Cordova Street, Anchorage AK 99501;F;101308$;common-law partner;884428;1993-05-23;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
472668128;MINDY;PUCKETT;F;MINDY.PUCKETT@outlook.com;1992-07-02;370 Wallace Road, Nashville TN 37211;E;296208$;divorced;049464;1970-06-01;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
103380465;BRICE;REILLY;M;BRICE.REILLY@ia.ca;1921-03-31;4719 West Cochise Drive, Glendale AZ 85302;F;34707$;divorced;030414;1984-04-17;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
388440711;BURL;CALLAHAN;M;BURL.CALLAHAN@hotmail.com;1953-09-18;2632 Jackson Street East, Carson CA 90810;E;117728$;maried;834803;2006-03-25;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
516241320;HENRIETTA;DUNLAP;F;HENRIETTA.DUNLAP@gmail.com;1941-10-17;1334 East 14th Avenue, Anchorage AK 99501;E;220613$;common-law partner;821235;1984-09-07;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
344024765;FRANCESCA;EVERETT;F;FRANCESCA.EVERETT@ia.ca;1983-06-10;3321 Furman Boulevard, Louisville KY 40220;F;165291$;common-law partner;016990;1976-10-03;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
222721318;MARQUIS;GOFF;M;MARQUIS.GOFF@ia.ca;1920-11-02;2 Cockle Shell Road, Savannah GA 31419;E;212850$;single;259075;2004-08-03;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
473306850;JONAH;KIM;M;JONAH.KIM@ia.ca;1967-09-01;8556 Nelson Court, Arvada CO 80005;E;129354$;maried;351905;1972-04-09;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
111611356;MATT;RICHARD;M;MATT.RICHARD@ia.ca;1921-03-09;12022 Town Park Circle, Anchorage AK 99577;F;270449$;single;323110;1972-04-09;Health care - Module 1, Dental care - Module 2;fakepurplepupleteam0006
463658633;ELLIOT;MORTON;M;ELLIOT.MORTON@agc.ia.ca;1953-07-11;239 Eastern Avenue, Fayetteville AR 72701;E;207425$;common-law partner;757110;1985-12-26;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
438834327;LAUREL;REYNOLDS;F;LAUREL.REYNOLDS@hotmail.com;1921-05-01;1015 Castle Road, Edmond OK 73034;F;157901$;common-law partner;022235;1998-01-21;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
417825353;ARMAND;BOWERS;M;ARMAND.BOWERS@hotmail.com;1969-10-10;36043 Soapberry Commons, Fremont CA 94536;E;174359$;widowed;601018;2010-03-09;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
230812380;DEWEY;CHRISTIAN;M;DEWEY.CHRISTIAN@ia.ca;1923-07-21;2100 Sandy Creek Trail, Edmond OK 73013;E;143587$;single;074191;2007-03-24;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
350110847;STACY;BATTLE;F;STACY.BATTLE@ia.ca;1954-06-19;5906 Milton Avenue, Deale MD 20751;E;265178$;single;457709;2010-07-23;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
702310129;ARNOLD;ERICKSON;M;ARNOLD.ERICKSON@outlook.com;1962-03-10;11150 Sun Valley Drive, Oakland CA 94605;E;201670$;single;472916;2004-03-28;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
654757038;NOLAN;FARMER;M;NOLAN.FARMER@ia.ca;1940-12-21;804 East 7th Court, Panama City FL 32401;F;294395$;widowed;319220;1993-04-28;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
606356020;WILLIS;MADDEN;M;WILLIS.MADDEN@hotmail.com;1983-04-11;354 North University Avenue, Fayetteville AR 72701;F;185796$;maried;960367;1983-11-28;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
648554657;DEBORAH;KANE;F;DEBORAH.KANE@hotmail.com;1925-10-02;14 Huntington Street, Manchester CT 06040;E;76759$;single;523756;2021-01-30;Health care - Module 3, Dental care - Module 1;fakepurplepupleteam0006
525445169;LUCIA;GARCIA;F;LUCIA.GARCIA@agc.ia.ca;1942-11-06;2721 Lindsay Avenue, Louisville KY 40206;F;42735$;single;191067;1978-12-05;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
542081781;JEREMY;WHITAKER;M;JEREMY.WHITAKER@hotmail.com;1991-11-04;12800 Saunders Road, Anchorage AK 99516;E;289528$;maried;659021;1989-11-07;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
115574386;FREEMAN;FRYE;M;FREEMAN.FRYE@gmail.com;1980-11-29;327 Idlewylde Drive, Louisville KY 40206;F;153646$;widowed;244547;1975-03-11;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
708363767;CHANDRA;SLOAN;F;CHANDRA.SLOAN@gmail.com;1978-07-31;143 Main Street, Manchester CT 06042;F;111722$;common-law partner;367968;1988-08-03;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
150467140;ARMANDO;JACKSON;M;ARMANDO.JACKSON@ia.ca;1928-01-25;1403 Lincoln Street, Savannah GA 31401;F;127654$;single;715643;2013-02-12;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
778376087;ISIDRO;TURNER;M;ISIDRO.TURNER@ia.ca;1925-05-12;2107 Elfen Glen, Van Buren AR 72956;E;179829$;common-law partner;158922;1970-08-24;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
645308750;BRANDIE;CALDERON;F;BRANDIE.CALDERON@ia.ca;1924-12-07;3118 Sora Avenue, Louisville KY 40213;E;54989$;widowed;883973;2013-12-15;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
723262366;RICHARD;BLANCHARD;M;RICHARD.BLANCHARD@outlook.com;1973-04-13;5420 Allison Street, Arvada CO 80002;E;205564$;maried;146435;1996-12-20;Health care - Module 1, Dental care - Module 2;fakepurplepupleteam0006
783644388;CHRIS;PATTON;M;CHRIS.PATTON@outlook.com;1984-06-18;8 Watkins Road, Oakland VT 05468;E;225597$;divorced;363833;1979-01-04;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
418665600;BRANDEN;DAUGHERTY;M;BRANDEN.DAUGHERTY@hotmail.com;1930-04-19;2577 Rhode Island Avenue Northeast, Washington DC 20018;F;58355$;single;784059;2011-07-26;Health care - Module 1, Dental care - Module 2;fakepurplepupleteam0006
477051379;CATALINA;MORSE;F;CATALINA.MORSE@hotmail.com;1980-01-21;5811 Crossings Boulevard, Nashville TN 37013;E;221274$;common-law partner;967324;1993-08-14;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
